time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	2.37553	-32.0546	-61.31	3.94731e-15	-1.6276e-14	radar	56.6712	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1843	35.0388	-66.9304	-11.9491	-69.6613	lidar	167.643	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	4.43733	1.61731	-51.871	-20.6637	-29.3896	radar	1689.82	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	2.05659	0.858936	-42.5488	-21.9879	-39.7052	lidar	103.953	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	3.37001	0.821506	-33.5525	-23.239	-35.1368	radar	53.3954	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.32477	0.163721	-25.8889	-25.0478	-35.9104	lidar	25.6443	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	1.81309	0.641439	-22.2224	-26.6089	-33.417	radar	20.9487	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.57619	1.20751	-19.741	-28.4243	-34.1964	lidar	17.6013	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	3.15535	0.785031	-32.7216	-29.0404	-28.3806	radar	193.602	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.08727	-0.436412	-29.4479	-30.5014	-28.4717	lidar	65.1743	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	0.372427	1.46062	-4.09076	-32.7605	-29.9329	radar	1104.7	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	0.851404	1.59267	-4.68725	-34.105	-29.4488	lidar	538.137	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	1.93945	1.47795	-5.30784	-34.958	-27.6144	radar	663.112	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	2.25937	1.24859	-5.94082	-36.2907	-27.5353	lidar	225.956	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	1.81163	1.27009	-2.94212	-37.8087	-27.7324	radar	1056.46	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	1.88342	1.38239	-2.9151	-39.1018	-27.559	lidar	298.957	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	2.12678	1.44817	-3.51302	-40.4031	-27.4249	radar	388.57	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	2.46042	1.44079	-3.79019	-41.7419	-27.4079	lidar	466.547	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	2.59977	1.34786	-1.59219	-42.3574	-26.0089	radar	779.254	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	2.77727	1.31764	-1.69453	-43.4773	-25.7451	lidar	515.171	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	2.68426	1.3287	-1.52561	-45.0163	-26.1842	radar	566.616	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	2.87659	1.43461	-1.43769	-46.1829	-26.0227	lidar	571.926	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	3.05308	1.4325	-2.12774	-47.3029	-25.7571	radar	390.229	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	3.30664	1.39633	-2.34243	-48.4671	-25.6326	lidar	585.236	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
